C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_229.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_229.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_229.jpg,0,0,0,1.371166E-05
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_297.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_297.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_297.jpg,0,0,0,2.135216E-05
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_366.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_366.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_366.jpg,0,0,0,1.903342E-05
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_434.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_434.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_434.jpg,0,0,0,3.057239E-06
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_503.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_503.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_503.jpg,0,0,0,1.84528E-06
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_573.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_573.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_573.jpg,0,0,0,7.957316E-06
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_642.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_642.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_642.jpg,0,0,0,1.390455E-05
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_710.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_710.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_710.jpg,0,0,0,4.948297E-06
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_778.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_778.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_778.jpg,0,0,0,4.084174E-06
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_846.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_846.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_846.jpg,0,0,0,4.396633E-06
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_913.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_913.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_913.jpg,0,0,0,2.184963E-05
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_57_982.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_57_982.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_57_982.jpg,0,0,0,2.095875E-05
C:\Users\kmcsa\Desktop\Data\IMG\center_2024_02_29_10_40_58_048.jpg,C:\Users\kmcsa\Desktop\Data\IMG\left_2024_02_29_10_40_58_048.jpg,C:\Users\kmcsa\Desktop\Data\IMG\right_2024_02_29_10_40_58_048.jpg,0,0,0,3.593419E-06
